ID,Category,Meal,Dish,Description,Calories,Protein,Carbs,Fats,Fiber
656,Vegan,Dinner,"Jeera Aloo with Bowl Rice","A balanced dinner meal featuring Jeera Aloo with Bowl Rice - cooked in traditional Indian style.",280,4.0,52.0,5.0,4.0
657,Vegan,Breakfast,"Gobi Paratha","A high-protein breakfast meal featuring Gobi Paratha - cooked in traditional Indian style.",220,5.0,33.0,7.0,5.0
658,Vegan,Breakfast,"4 Idlis with Chana Chaat","A delicious breakfast meal featuring 4 Idlis with Chana Chaat - perfect for your dietary goals.",372,15.0,70.0,2.8,9.0
659,Vegan,Mid Morning Snack,"Masala Oats","A nutrient-rich mid morning snack meal featuring Masala Oats - providing excellent macronutrients.",140,5.0,24.0,3.0,4.0
660,Vegan,Evening Snack,"Cucumber Carrot Salad","A nutrient-rich evening snack meal featuring Cucumber Carrot Salad - perfect for your dietary goals.",40,1.0,9.0,0.0,3.0
661,Vegan,Lunch,"Lobia Curry with Roti","A home-style lunch meal featuring Lobia Curry with Roti - cooked in traditional Indian style.",264,10.0,46.0,4.0,10.0
662,Vegan,Lunch,"Chana Masala and Brown Rice (Bowl) and Cabbage Poriyal","A home-style lunch meal featuring Chana Masala and Brown Rice (Bowl) and Cabbage Poriyal - providing excellent macronutrients.",370,13.0,59.0,10.0,14.5
663,Vegan,Dinner,"Yellow Dal Tadka with Brown Rice (Bowl)","A high-protein dinner meal featuring Yellow Dal Tadka with Brown Rice (Bowl) - perfect for your dietary goals.",230,10.0,40.0,4.0,8.5
664,Vegan,Dinner,"Cabbage Poriyal with Bowl Rice","A delicious dinner meal featuring Cabbage Poriyal with Bowl Rice - perfect for your dietary goals.",220,4.0,40.0,4.0,5.0
665,Vegan,Breakfast,"3 Idlis","A high-protein breakfast meal featuring 3 Idlis - perfect for your dietary goals.",174,6.0,36.0,0.6,2.2
666,Vegan,Breakfast,"Plain Dosa with Masala Oats","A balanced breakfast meal featuring Plain Dosa with Masala Oats - providing excellent macronutrients.",273,8.0,47.0,6.0,5.0
667,Vegan,Mid Morning Snack,"Roasted Chana","A balanced mid morning snack meal featuring Roasted Chana - perfect for your dietary goals.",120,6.0,18.0,2.0,5.0
668,Vegan,Evening Snack,"Chana Chaat","A healthy evening snack meal featuring Chana Chaat - perfect for your dietary goals.",140,7.0,22.0,2.0,6.0
669,Vegan,Lunch,"Lobia Curry with Roti","A high-protein lunch meal featuring Lobia Curry with Roti - cooked in traditional Indian style.",264,10.0,46.0,4.0,10.0
670,Vegan,Lunch,"Chana Masala and Roti and Aloo Gobi","A healthy lunch meal featuring Chana Masala and Roti and Aloo Gobi - prepared with minimal oil.",384,14.0,65.0,10.0,15.0
671,Vegan,Dinner,"Rajma Curry with Millet Roti","A nutrient-rich dinner meal featuring Rajma Curry with Millet Roti - prepared with minimal oil.",295,11.5,46.0,5.5,12.0
672,Vegan,Dinner,"Aloo Gobi with Rotis","A balanced dinner meal featuring Aloo Gobi with Rotis - providing excellent macronutrients.",318,9.0,62.0,6.0,11.0
673,Vegan,Breakfast,"Moong Dal Chilla","A healthy breakfast meal featuring Moong Dal Chilla - perfect for your dietary goals.",140,8.0,17.0,4.0,4.0
674,Vegan,Breakfast,"Plain Dosa with Mixed Nuts (30g)","A balanced breakfast meal featuring Plain Dosa with Mixed Nuts (30g) - perfect for your dietary goals.",313,9.0,29.0,18.0,4.0
675,Vegan,Mid Morning Snack,"Mixed Nuts (30g)","A delicious mid morning snack meal featuring Mixed Nuts (30g) - providing excellent macronutrients.",180,6.0,6.0,15.0,3.0
676,Vegan,Evening Snack,"Masala Oats","A home-style evening snack meal featuring Masala Oats - providing excellent macronutrients.",140,5.0,24.0,3.0,4.0
677,Vegan,Lunch,"Tofu Curry with Brown Rice (Bowl)","A balanced lunch meal featuring Tofu Curry with Brown Rice (Bowl) - prepared with minimal oil.",290,17.0,28.0,12.0,5.5
678,Vegan,Lunch,"Toor Dal and Roti and Mixed Veg Curry","A balanced lunch meal featuring Toor Dal and Roti and Mixed Veg Curry - cooked in traditional Indian style.",354,13.0,57.0,9.0,13.0
679,Vegan,Dinner,"Rajma Curry with Brown Rice (Bowl)","A balanced dinner meal featuring Rajma Curry with Brown Rice (Bowl) - cooked in traditional Indian style.",290,11.0,48.0,5.0,11.5
680,Vegan,Dinner,"Mixed Veg Curry with Bowls Rice","A balanced dinner meal featuring Mixed Veg Curry with Bowls Rice - cooked in traditional Indian style.",400,8.0,74.0,6.0,7.0
681,Vegan,Breakfast,"Besan Chilla","A balanced breakfast meal featuring Besan Chilla - cooked in traditional Indian style.",150,7.0,18.0,5.0,4.0
682,Vegan,Breakfast,"Aloo Paratha with Roasted Makhana","A home-style breakfast meal featuring Aloo Paratha with Roasted Makhana - prepared with minimal oil.",340,8.0,55.0,10.0,8.0
683,Vegan,Mid Morning Snack,"Masala Oats","A high-protein mid morning snack meal featuring Masala Oats - prepared with minimal oil.",140,5.0,24.0,3.0,4.0
684,Vegan,Evening Snack,"Masala Oats","A healthy evening snack meal featuring Masala Oats - cooked in traditional Indian style.",140,5.0,24.0,3.0,4.0
685,Vegan,Lunch,"Yellow Dal Tadka with Bowl Rice","A home-style lunch meal featuring Yellow Dal Tadka with Bowl Rice - perfect for your dietary goals.",250,9.0,46.0,3.0,6.0
686,Vegan,Lunch,"Soya Chunks Curry and Rotis and Lauki Sabzi","A delicious lunch meal featuring Soya Chunks Curry and Rotis and Lauki Sabzi - providing excellent macronutrients.",428,25.0,66.0,8.0,14.0
687,Vegan,Dinner,"Yellow Dal Tadka with Jeera Rice","A nutrient-rich dinner meal featuring Yellow Dal Tadka with Jeera Rice - cooked in traditional Indian style.",270,9.5,46.0,6.0,6.2
688,Vegan,Dinner,"Bhindi Masala with Millet Rotis","A healthy dinner meal featuring Bhindi Masala with Millet Rotis - cooked in traditional Indian style.",350,9.0,54.0,9.0,12.0
689,Vegan,Breakfast,"Poha","A home-style breakfast meal featuring Poha - perfect for your dietary goals.",180,3.0,39.0,1.5,2.0
690,Vegan,Breakfast,"Poha with Moong Sprouts Salad","A nutrient-rich breakfast meal featuring Poha with Moong Sprouts Salad - cooked in traditional Indian style.",300,13.0,57.0,2.5,8.0
691,Vegan,Mid Morning Snack,"Fruit Bowl (Apple & Papaya)","A nutrient-rich mid morning snack meal featuring Fruit Bowl (Apple & Papaya) - perfect for your dietary goals.",90,1.0,22.0,0.0,4.0
692,Vegan,Evening Snack,"Roasted Chana","A healthy evening snack meal featuring Roasted Chana - prepared with minimal oil.",120,6.0,18.0,2.0,5.0
693,Vegan,Lunch,"Rajma Curry with Jeera Rice","A balanced lunch meal featuring Rajma Curry with Jeera Rice - cooked in traditional Indian style.",330,10.5,54.0,7.0,9.2
694,Vegan,Lunch,"Soya Chunks Curry and Brown Rice (Bowl) and Jeera Aloo","A balanced lunch meal featuring Soya Chunks Curry and Brown Rice (Bowl) and Jeera Aloo - cooked in traditional Indian style.",410,23.0,58.0,9.0,11.5
695,Vegan,Dinner,"Chana Masala with Quinoa (Bowl)","A delicious dinner meal featuring Chana Masala with Quinoa (Bowl) - providing excellent macronutrients.",290,12.4,46.0,7.0,9.8
696,Vegan,Dinner,"Aloo Gobi with Bowls Rice","A delicious dinner meal featuring Aloo Gobi with Bowls Rice - prepared with minimal oil.",370,7.0,74.0,4.0,7.0
697,Vegan,Breakfast,"Idlis","A delicious breakfast meal featuring Idlis - perfect for your dietary goals.",116,4.0,24.0,0.4,1.5
698,Vegan,Breakfast,"Poha with Masala Oats","A delicious breakfast meal featuring Poha with Masala Oats - providing excellent macronutrients.",320,8.0,63.0,4.5,6.0
699,Vegan,Mid Morning Snack,"Roasted Makhana","A high-protein mid morning snack meal featuring Roasted Makhana - cooked in traditional Indian style.",110,3.0,20.0,2.0,4.0
700,Vegan,Evening Snack,"Roasted Makhana","A high-protein evening snack meal featuring Roasted Makhana - perfect for your dietary goals.",110,3.0,20.0,2.0,4.0
701,Vegan,Lunch,"Lobia Curry with Millet Rotis","A high-protein lunch meal featuring Lobia Curry with Millet Rotis - cooked in traditional Indian style.",390,14.0,64.0,6.0,15.0
702,Vegan,Lunch,"Rajma Curry and Bowls Rice and Mushroom Do Pyaza","A home-style lunch meal featuring Rajma Curry and Bowls Rice and Mushroom Do Pyaza - prepared with minimal oil.",550,16.0,92.0,10.0,13.0
703,Vegan,Dinner,"Yellow Dal Tadka with Bowls Rice","A home-style dinner meal featuring Yellow Dal Tadka with Bowls Rice - perfect for your dietary goals.",315,10.0,60.0,3.0,6.5
704,Vegan,Dinner,"Mushroom Do Pyaza with Brown Rice (Bowl)","A home-style dinner meal featuring Mushroom Do Pyaza with Brown Rice (Bowl) - providing excellent macronutrients.",220,7.0,32.0,7.0,6.5
705,Vegan,Breakfast,"Upma","A nutrient-rich breakfast meal featuring Upma - perfect for your dietary goals.",190,4.0,35.0,3.0,3.0
706,Vegan,Breakfast,"Dalia with Roasted Chana","A balanced breakfast meal featuring Dalia with Roasted Chana - prepared with minimal oil.",280,10.0,50.0,3.0,10.0
707,Vegan,Mid Morning Snack,"Chana Chaat","A balanced mid morning snack meal featuring Chana Chaat - cooked in traditional Indian style.",140,7.0,22.0,2.0,6.0
708,Vegan,Evening Snack,"Vegan Protein Shake","A nutrient-rich evening snack meal featuring Vegan Protein Shake - providing excellent macronutrients.",115,22.0,4.0,1.5,1.0
709,Vegan,Lunch,"Lobia Curry with Roti","A balanced lunch meal featuring Lobia Curry with Roti - perfect for your dietary goals.",264,10.0,46.0,4.0,10.0
710,Vegan,Lunch,"Toor Dal and Roti and Jeera Aloo","A balanced lunch meal featuring Toor Dal and Roti and Jeera Aloo - cooked in traditional Indian style.",364,11.0,63.0,8.0,11.0
711,Vegan,Dinner,"Yellow Dal Tadka with Bowl Rice","A home-style dinner meal featuring Yellow Dal Tadka with Bowl Rice - cooked in traditional Indian style.",250,9.0,46.0,3.0,6.0
712,Vegan,Dinner,"Lauki Sabzi with Bowls Rice","A high-protein dinner meal featuring Lauki Sabzi with Bowls Rice - cooked in traditional Indian style.",265,4.0,52.0,3.0,4.5
713,Vegan,Breakfast,"Poha","A home-style breakfast meal featuring Poha - perfect for your dietary goals.",180,3.0,39.0,1.5,2.0
714,Vegan,Breakfast,"Moong Dal Chilla with Roasted Chana","A healthy breakfast meal featuring Moong Dal Chilla with Roasted Chana - cooked in traditional Indian style.",260,14.0,35.0,6.0,9.0
715,Vegan,Mid Morning Snack,"Moong Sprouts Salad","A home-style mid morning snack meal featuring Moong Sprouts Salad - perfect for your dietary goals.",120,10.0,18.0,1.0,6.0
716,Vegan,Evening Snack,"Moong Sprouts Salad","A healthy evening snack meal featuring Moong Sprouts Salad - providing excellent macronutrients.",120,10.0,18.0,1.0,6.0
717,Vegan,Lunch,"Lobia Curry with Quinoa (Bowl)","A balanced lunch meal featuring Lobia Curry with Quinoa (Bowl) - perfect for your dietary goals.",280,11.4,45.0,5.0,9.8
718,Vegan,Lunch,"Chana Masala and Quinoa (Bowl) and Aloo Gobi","A nutrient-rich lunch meal featuring Chana Masala and Quinoa (Bowl) and Aloo Gobi - prepared with minimal oil.",400,15.4,64.0,11.0,14.8
719,Vegan,Dinner,"Vegan Dal Makhani (Coconut Milk) with Roti","A home-style dinner meal featuring Vegan Dal Makhani (Coconut Milk) with Roti - providing excellent macronutrients.",324,11.0,44.0,11.0,10.0
720,Vegan,Dinner,"Jeera Aloo with Bowls Rice","A balanced dinner meal featuring Jeera Aloo with Bowls Rice - cooked in traditional Indian style.",345,5.0,66.0,5.0,4.5
721,Vegan,Breakfast,"Masala Dosa","A healthy breakfast meal featuring Masala Dosa - cooked in traditional Indian style.",260,5.0,42.0,8.0,4.0
722,Vegan,Breakfast,"Dalia with Roasted Chana","A nutrient-rich breakfast meal featuring Dalia with Roasted Chana - providing excellent macronutrients.",280,10.0,50.0,3.0,10.0
723,Vegan,Mid Morning Snack,"Mixed Nuts (30g)","A home-style mid morning snack meal featuring Mixed Nuts (30g) - providing excellent macronutrients.",180,6.0,6.0,15.0,3.0
724,Vegan,Evening Snack,"Fruit Bowl (Apple & Papaya)","A balanced evening snack meal featuring Fruit Bowl (Apple & Papaya) - perfect for your dietary goals.",90,1.0,22.0,0.0,4.0
725,Vegan,Lunch,"Toor Dal with Bowl Rice","A delicious lunch meal featuring Toor Dal with Bowl Rice - perfect for your dietary goals.",240,8.0,45.0,2.0,6.0
726,Vegan,Lunch,"Lobia Curry and Bowl Rice and Mushroom Do Pyaza","A home-style lunch meal featuring Lobia Curry and Bowl Rice and Mushroom Do Pyaza - prepared with minimal oil.",400,13.0,62.0,9.0,11.0
727,Vegan,Dinner,"Lobia Curry with Millet Rotis","A nutrient-rich dinner meal featuring Lobia Curry with Millet Rotis - cooked in traditional Indian style.",390,14.0,64.0,6.0,15.0
728,Vegan,Dinner,"Cabbage Poriyal with Quinoa (Bowl)","A high-protein dinner meal featuring Cabbage Poriyal with Quinoa (Bowl) - prepared with minimal oil.",210,6.4,33.0,6.0,6.8
729,Vegan,Breakfast,"Appam","A balanced breakfast meal featuring Appam - cooked in traditional Indian style.",120,2.0,25.0,1.5,1.0
730,Vegan,Breakfast,"Gobi Paratha with Masala Oats","A delicious breakfast meal featuring Gobi Paratha with Masala Oats - cooked in traditional Indian style.",360,10.0,57.0,10.0,9.0
731,Vegan,Mid Morning Snack,"Moong Sprouts Salad","A nutrient-rich mid morning snack meal featuring Moong Sprouts Salad - cooked in traditional Indian style.",120,10.0,18.0,1.0,6.0
732,Vegan,Evening Snack,"Mixed Nuts (30g)","A healthy evening snack meal featuring Mixed Nuts (30g) - cooked in traditional Indian style.",180,6.0,6.0,15.0,3.0
733,Vegan,Lunch,"Tofu Curry with Millet Rotis","A delicious lunch meal featuring Tofu Curry with Millet Rotis - providing excellent macronutrients.",410,21.0,46.0,14.0,10.0
734,Vegan,Lunch,"Lobia Curry and Bowls Rice and Cabbage Poriyal","A delicious lunch meal featuring Lobia Curry and Bowls Rice and Cabbage Poriyal - cooked in traditional Indian style.",445,12.0,78.0,7.0,12.5
735,Vegan,Dinner,"Lobia Curry with Brown Rice (Bowl)","A nutrient-rich dinner meal featuring Lobia Curry with Brown Rice (Bowl) - perfect for your dietary goals.",270,10.0,46.0,4.0,10.5
736,Vegan,Dinner,"Jeera Aloo with Brown Rice (Bowl)","A delicious dinner meal featuring Jeera Aloo with Brown Rice (Bowl) - cooked in traditional Indian style.",260,5.0,46.0,6.0,6.5
737,Vegan,Breakfast,"Appam","A delicious breakfast meal featuring Appam - prepared with minimal oil.",120,2.0,25.0,1.5,1.0
738,Vegan,Breakfast,"Aloo Paratha with Roasted Chana","A high-protein breakfast meal featuring Aloo Paratha with Roasted Chana - cooked in traditional Indian style.",350,11.0,53.0,10.0,9.0
739,Vegan,Mid Morning Snack,"Roasted Chana","A healthy mid morning snack meal featuring Roasted Chana - cooked in traditional Indian style.",120,6.0,18.0,2.0,5.0
740,Vegan,Evening Snack,"Chana Chaat","A home-style evening snack meal featuring Chana Chaat - providing excellent macronutrients.",140,7.0,22.0,2.0,6.0
741,Vegan,Lunch,"Rajma Curry with Bowl Rice","A balanced lunch meal featuring Rajma Curry with Bowl Rice - prepared with minimal oil.",310,10.0,54.0,4.0,9.0
742,Vegan,Lunch,"Rajma Curry and Millet Roti and Mixed Veg Curry","A nutrient-rich lunch meal featuring Rajma Curry and Millet Roti and Mixed Veg Curry - prepared with minimal oil.",435,15.5,64.0,11.5,17.0
743,Vegan,Dinner,"Tofu Curry with Jeera Rice","A balanced dinner meal featuring Tofu Curry with Jeera Rice - providing excellent macronutrients.",330,16.5,34.0,14.0,3.2
744,Vegan,Dinner,"Lauki Sabzi with Quinoa (Bowl)","A balanced dinner meal featuring Lauki Sabzi with Quinoa (Bowl) - perfect for your dietary goals.",190,5.4,31.0,5.0,5.8
745,Vegan,Breakfast,"Plain Dosa","A nutrient-rich breakfast meal featuring Plain Dosa - cooked in traditional Indian style.",133,3.0,23.0,3.0,1.0
746,Vegan,Breakfast,"Idlis with Cucumber Carrot Salad","A healthy breakfast meal featuring Idlis with Cucumber Carrot Salad - cooked in traditional Indian style.",156,5.0,33.0,0.4,4.5
747,Vegan,Mid Morning Snack,"Chana Chaat","A delicious mid morning snack meal featuring Chana Chaat - prepared with minimal oil.",140,7.0,22.0,2.0,6.0
748,Vegan,Evening Snack,"Mixed Nuts (30g)","A high-protein evening snack meal featuring Mixed Nuts (30g) - cooked in traditional Indian style.",180,6.0,6.0,15.0,3.0
749,Vegan,Lunch,"Tofu Curry with Jeera Rice","A healthy lunch meal featuring Tofu Curry with Jeera Rice - cooked in traditional Indian style.",330,16.5,34.0,14.0,3.2
750,Vegan,Lunch,"Chana Masala and Rotis and Lauki Sabzi","A balanced lunch meal featuring Chana Masala and Rotis and Lauki Sabzi - cooked in traditional Indian style.",448,15.0,79.0,10.0,16.0
751,Vegan,Dinner,"Rajma Curry with Bowls Rice","A high-protein dinner meal featuring Rajma Curry with Bowls Rice - prepared with minimal oil.",375,11.0,68.0,4.0,9.5
752,Vegan,Dinner,"Mixed Veg Curry with Roti","A home-style dinner meal featuring Mixed Veg Curry with Roti - perfect for your dietary goals.",244,7.0,40.0,7.0,8.0
753,Vegan,Breakfast,"Oats","A home-style breakfast meal featuring Oats - perfect for your dietary goals.",154,5.0,27.0,3.0,4.0
754,Vegan,Breakfast,"Idlis with Chana Chaat","A high-protein breakfast meal featuring Idlis with Chana Chaat - perfect for your dietary goals.",256,11.0,46.0,2.4,7.5
755,Vegan,Mid Morning Snack,"Masala Oats","A nutrient-rich mid morning snack meal featuring Masala Oats - cooked in traditional Indian style.",140,5.0,24.0,3.0,4.0
756,Vegan,Evening Snack,"Vegan Protein Shake","A nutrient-rich evening snack meal featuring Vegan Protein Shake - providing excellent macronutrients.",115,22.0,4.0,1.5,1.0
757,Vegan,Lunch,"Soya Chunks Curry with Bowls Rice","A high-protein lunch meal featuring Soya Chunks Curry with Bowls Rice - perfect for your dietary goals.",345,21.0,54.0,3.0,6.5
758,Vegan,Lunch,"Rajma Curry and Rotis and Baingan Bharta","A delicious lunch meal featuring Rajma Curry and Rotis and Baingan Bharta - cooked in traditional Indian style.",518,16.0,86.0,13.0,20.0
759,Vegan,Dinner,"Rajma Curry with Rotis","A home-style dinner meal featuring Rajma Curry with Rotis - prepared with minimal oil.",388,14.0,70.0,6.0,14.0
760,Vegan,Dinner,"Aloo Gobi with Bowl Rice","A home-style dinner meal featuring Aloo Gobi with Bowl Rice - prepared with minimal oil.",240,5.0,46.0,4.0,6.0
761,Vegan,Breakfast,"Appam","A healthy breakfast meal featuring Appam - providing excellent macronutrients.",120,2.0,25.0,1.5,1.0
762,Vegan,Breakfast,"Moong Dal Chilla with Masala Oats","A nutrient-rich breakfast meal featuring Moong Dal Chilla with Masala Oats - cooked in traditional Indian style.",280,13.0,41.0,7.0,8.0
763,Vegan,Mid Morning Snack,"Cucumber Carrot Salad","A home-style mid morning snack meal featuring Cucumber Carrot Salad - providing excellent macronutrients.",40,1.0,9.0,0.0,3.0
764,Vegan,Evening Snack,"Masala Oats","A balanced evening snack meal featuring Masala Oats - providing excellent macronutrients.",140,5.0,24.0,3.0,4.0
765,Vegan,Lunch,"Yellow Dal Tadka with Roti","A healthy lunch meal featuring Yellow Dal Tadka with Roti - prepared with minimal oil.",224,10.0,40.0,4.0,8.0
766,Vegan,Lunch,"Tofu Curry and Brown Rice (Bowl) and Lauki Sabzi","A delicious lunch meal featuring Tofu Curry and Brown Rice (Bowl) and Lauki Sabzi - prepared with minimal oil.",360,18.0,38.0,15.0,8.5
767,Vegan,Dinner,"Chana Masala with 3 Rotis","A high-protein dinner meal featuring Chana Masala with 3 Rotis - cooked in traditional Indian style.",482,17.0,91.0,8.0,16.0
768,Vegan,Dinner,"Lauki Sabzi with Bowls Rice","A healthy dinner meal featuring Lauki Sabzi with Bowls Rice - perfect for your dietary goals.",265,4.0,52.0,3.0,4.5
769,Vegan,Breakfast,"Besan Chilla","A nutrient-rich breakfast meal featuring Besan Chilla - prepared with minimal oil.",150,7.0,18.0,5.0,4.0
770,Vegan,Breakfast,"Poha with Moong Sprouts Salad","A balanced breakfast meal featuring Poha with Moong Sprouts Salad - perfect for your dietary goals.",300,13.0,57.0,2.5,8.0
771,Vegan,Mid Morning Snack,"Masala Oats","A nutrient-rich mid morning snack meal featuring Masala Oats - cooked in traditional Indian style.",140,5.0,24.0,3.0,4.0
772,Vegan,Evening Snack,"Moong Sprouts Salad","A home-style evening snack meal featuring Moong Sprouts Salad - perfect for your dietary goals.",120,10.0,18.0,1.0,6.0
773,Vegan,Lunch,"Lobia Curry with Brown Rice (Bowl)","A high-protein lunch meal featuring Lobia Curry with Brown Rice (Bowl) - prepared with minimal oil.",270,10.0,46.0,4.0,10.5
774,Vegan,Lunch,"Tofu Curry and Rotis and Baingan Bharta","A high-protein lunch meal featuring Tofu Curry and Rotis and Baingan Bharta - providing excellent macronutrients.",518,22.0,66.0,20.0,14.0
775,Vegan,Dinner,"Tofu Curry with Bowl Rice","A delicious dinner meal featuring Tofu Curry with Bowl Rice - perfect for your dietary goals.",310,16.0,34.0,11.0,3.0
776,Vegan,Dinner,"Lauki Sabzi with Millet Rotis","A delicious dinner meal featuring Lauki Sabzi with Millet Rotis - cooked in traditional Indian style.",300,8.0,50.0,6.0,11.0
777,Vegan,Breakfast,"Aloo Paratha","A balanced breakfast meal featuring Aloo Paratha - prepared with minimal oil.",230,5.0,35.0,8.0,4.0
778,Vegan,Breakfast,"Besan Chilla with Mixed Nuts (30g)","A home-style breakfast meal featuring Besan Chilla with Mixed Nuts (30g) - prepared with minimal oil.",330,13.0,24.0,20.0,7.0
779,Vegan,Mid Morning Snack,"Vegan Protein Shake","A delicious mid morning snack meal featuring Vegan Protein Shake - prepared with minimal oil.",115,22.0,4.0,1.5,1.0
780,Vegan,Evening Snack,"Chana Chaat","A high-protein evening snack meal featuring Chana Chaat - perfect for your dietary goals.",140,7.0,22.0,2.0,6.0
781,Vegan,Lunch,"Chana Masala with Bowls Rice","A healthy lunch meal featuring Chana Masala with Bowls Rice - prepared with minimal oil.",430,12.0,81.0,5.0,9.0
782,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) and Quinoa (Bowl) and Bhindi Masala","A nutrient-rich lunch meal featuring Vegan Dal Makhani (Coconut Milk) and Quinoa (Bowl) and Bhindi Masala - providing excellent macronutrients.",460,14.4,57.0,18.0,13.8
783,Vegan,Dinner,"Vegan Dal Makhani (Coconut Milk) with Millet Rotis","A balanced dinner meal featuring Vegan Dal Makhani (Coconut Milk) with Millet Rotis - cooked in traditional Indian style.",450,15.0,62.0,13.0,15.0
784,Vegan,Dinner,"Mixed Veg Curry with Bowl Rice","A balanced dinner meal featuring Mixed Veg Curry with Bowl Rice - providing excellent macronutrients.",270,6.0,46.0,6.0,6.0
785,Vegan,Breakfast,"Oats","A nutrient-rich breakfast meal featuring Oats - providing excellent macronutrients.",154,5.0,27.0,3.0,4.0
786,Vegan,Breakfast,"3 Idlis with Fruit Bowl (Apple & Papaya)","A high-protein breakfast meal featuring 3 Idlis with Fruit Bowl (Apple & Papaya) - prepared with minimal oil.",264,7.0,58.0,0.6,6.2
787,Vegan,Mid Morning Snack,"Vegan Protein Shake","A delicious mid morning snack meal featuring Vegan Protein Shake - providing excellent macronutrients.",115,22.0,4.0,1.5,1.0
788,Vegan,Evening Snack,"Cucumber Carrot Salad","A healthy evening snack meal featuring Cucumber Carrot Salad - perfect for your dietary goals.",40,1.0,9.0,0.0,3.0
789,Vegan,Lunch,"Tofu Curry with Millet Roti","A high-protein lunch meal featuring Tofu Curry with Millet Roti - providing excellent macronutrients.",295,17.5,26.0,12.5,6.0
790,Vegan,Lunch,"Chana Masala and Bowl Rice and Lauki Sabzi","A healthy lunch meal featuring Chana Masala and Bowl Rice and Lauki Sabzi - prepared with minimal oil.",370,11.0,63.0,8.0,11.0
791,Vegan,Dinner,"Tofu Curry with Millet Rotis","A healthy dinner meal featuring Tofu Curry with Millet Rotis - prepared with minimal oil.",410,21.0,46.0,14.0,10.0
792,Vegan,Dinner,"Mushroom Do Pyaza with Millet Roti","A healthy dinner meal featuring Mushroom Do Pyaza with Millet Roti - cooked in traditional Indian style.",225,7.5,30.0,7.5,7.0
793,Vegan,Breakfast,"Upma","A healthy breakfast meal featuring Upma - cooked in traditional Indian style.",190,4.0,35.0,3.0,3.0
794,Vegan,Breakfast,"Masala Dosa with Cucumber Carrot Salad","A high-protein breakfast meal featuring Masala Dosa with Cucumber Carrot Salad - perfect for your dietary goals.",300,6.0,51.0,8.0,7.0
795,Vegan,Mid Morning Snack,"Roasted Makhana","A delicious mid morning snack meal featuring Roasted Makhana - providing excellent macronutrients.",110,3.0,20.0,2.0,4.0
796,Vegan,Evening Snack,"Roasted Makhana","A high-protein evening snack meal featuring Roasted Makhana - providing excellent macronutrients.",110,3.0,20.0,2.0,4.0
797,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) with Millet Rotis","A balanced lunch meal featuring Vegan Dal Makhani (Coconut Milk) with Millet Rotis - perfect for your dietary goals.",450,15.0,62.0,13.0,15.0
798,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) and Brown Rice (Bowl) and Cabbage Poriyal","A nutrient-rich lunch meal featuring Vegan Dal Makhani (Coconut Milk) and Brown Rice (Bowl) and Cabbage Poriyal - providing excellent macronutrients.",420,13.0,56.0,15.0,14.5
799,Vegan,Dinner,"Tofu Curry with Roti","A home-style dinner meal featuring Tofu Curry with Roti - cooked in traditional Indian style.",284,17.0,28.0,12.0,5.0
800,Vegan,Dinner,"Lauki Sabzi with Jeera Rice","A healthy dinner meal featuring Lauki Sabzi with Jeera Rice - perfect for your dietary goals.",220,3.5,38.0,6.0,4.2
801,Vegetarian,Breakfast,"3 Idlis","A high-protein breakfast meal featuring 3 Idlis - prepared with minimal oil.",174,6.0,36.0,0.6,2.2
802,Vegetarian,Mid Morning Snack,"Greek Yogurt (cup)","A healthy mid morning snack meal featuring Greek Yogurt (cup) - cooked in traditional Indian style.",100,10.0,4.0,0.0,0.0
803,Vegetarian,Evening Snack,"Mixed Nuts (30g)","A healthy evening snack meal featuring Mixed Nuts (30g) - providing excellent macronutrients.",180,6.0,6.0,15.0,3.0
804,Vegetarian,Lunch,"Chana Masala with Garlic Naan","A home-style lunch meal featuring Chana Masala with Garlic Naan - cooked in traditional Indian style.",460,16.0,68.0,14.0,9.0
805,Vegetarian,Lunch,"Kadai Paneer and Millet Roti and Cucumber Raita","A nutrient-rich lunch meal featuring Kadai Paneer and Millet Roti and Cucumber Raita - cooked in traditional Indian style.",435,19.5,37.0,21.5,8.0
806,Vegetarian,Dinner,"Kadai Paneer with Millet Rotis","A healthy dinner meal featuring Kadai Paneer with Millet Rotis - cooked in traditional Indian style.",490,20.0,52.0,21.0,11.0
807,Vegetarian,Dinner,"Mushroom Do Pyaza with Millet Rotis","A nutrient-rich dinner meal featuring Mushroom Do Pyaza with Millet Rotis - perfect for your dietary goals.",340,11.0,50.0,9.0,11.0
808,Vegetarian,Breakfast,"Oats","A balanced breakfast meal featuring Oats - providing excellent macronutrients.",154,5.0,27.0,3.0,4.0
809,Vegetarian,Mid Morning Snack,"Protein Shake (scoop)","A home-style mid morning snack meal featuring Protein Shake (scoop) - providing excellent macronutrients.",120,24.0,3.0,1.5,0.0
810,Vegetarian,Evening Snack,"Mixed Nuts (30g)","A nutrient-rich evening snack meal featuring Mixed Nuts (30g) - cooked in traditional Indian style.",180,6.0,6.0,15.0,3.0
811,Vegetarian,Lunch,"Palak Paneer with Naan","A delicious lunch meal featuring Palak Paneer with Naan - providing excellent macronutrients.",500,22.0,50.0,24.0,6.0
